CM Course,Type Key,State Key,Name,Descr,formatID,shortName
BSCI105,,,Lecture/Lab,Courses with Lecture/Lab,,LEC/LAB
BSCI105,,,Lecture Only,Courses with Lecture only,,LEC
BSCI106,,,Lecture/Lab,Courses with Lecture/Lab,,LEC/LAB
BSCI106,,,Lecture Only,Courses with Lecture only,,LEC
BSCI120,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
BSCI121,,,Lecture Only,Courses with Lecture only,,LEC 
BSCI126,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
BSCI135,,,Lecture/Lab,Courses with Lecture/Lab,,LEC/LAB
BSCI189,,,Lecture/Lab,Courses with Lecture/Lab,,LEC/LAB
BSCI201,,,Lecture/Lab,Courses with Lecture/Lab,,LEC/LAB
BSCI202,,,Lecture/Lab,Courses with Lecture/Lab,,LEC/LAB
BSCI207,,,Lecture Only,Courses with Lecture only,,LEC 
BSCI215,,,Lecture Only,Courses with Lecture only,,LEC 
BSCI222,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
BSCI223,,,Lecture/Lab,Courses with Lecture/Lab,,LEC/LAB
BSCI258,,,Lecture Only,Courses with Lecture only,,LEC 
BSCI279,,,Lecture Only,Courses with Lecture only,,LEC 
BSCI279,,,Lab Only,Courses with Lab only,,LAB
BSCI283,,,Lecture/Lab,Courses with Lecture/Lab,,LEC/LAB
BSCI288,,,Lecture Only,Courses with Lecture only,,LEC 
BSCI289,,,Lecture Only,Courses with Lecture only,,LEC 
BSCI329,,,Lecture Only,Courses with Lecture only,,LEC 
BSCI330,,,Lecture/Lab,Courses with Lecture/Lab,,LEC/LAB
BSCI338,,,Lecture Only,Courses with Lecture only,,LEC 
BSCI348,,,Lecture Only,Courses with Lecture only,,LEC 
BSCI348,,,Lecture/Lab,Courses with Lecture/Lab,,LEC/LAB
BSCI353,,,Lecture Only,Courses with Lecture only,,LEC 
BSCI360,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
BSCI361,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
BSCI363,,,Lecture Only,Courses with Lecture only,,LEC 
BSCI370,,,Lecture Only,Courses with Lecture only,,LEC 
BSCI373,,,Lecture Only,Courses with Lecture only,,LEC 
BSCI379,,,Lecture Only,Courses with Lecture only,,LEC 
BSCI389,,,Lecture Only,Courses with Lecture only,,LEC 
BSCI392,,,Lecture Only,Courses with Lecture only,,LEC 
BSCI393,,,Lab Only,Courses with Lab only,,LAB
BSCI398,,,Lecture Only,Courses with Lecture only,,LEC 
BSCI399,,,Lecture Only,Courses with Lecture only,,LEC 
BSCI410,,,Lecture Only,Courses with Lecture only,,LEC 
BSCI411,,,Lecture/Lab,Courses with Lecture/Lab,,LEC/LAB
BSCI414,,,Lecture/Lab,Courses with Lecture/Lab,,LEC/LAB
BSCI415,,,Lab Only,Courses with Lab only,,LAB
BSCI420,,,Lecture Only,Courses with Lecture only,,LEC 
BSCI421,,,Lecture/Lab,Courses with Lecture/Lab,,LEC/LAB
BSCI422,,,Lecture Only,Courses with Lecture only,,LEC
BSCI424,,,Lecture/Lab,Courses with Lecture/Lab,,LEC/LAB
BSCI425,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
BSCI427,,,Lecture Only,Courses with Lecture only,,LEC 
BSCI437,,,Lecture Only,Courses with Lecture only,,LEC 
BSCI440,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
BSCI441,,,Lecture/Lab,Courses with Lecture/Lab,,LEC/LAB
